Country,Protein,units,source
,,g/capita/day,FAO stat
Please select,,g/capita/day,FAO stat
Afghanistan,58,g/capita/day,FAO stat
Albania,101,g/capita/day,FAO stat
Algeria,88,g/capita/day,FAO stat
Angola,54,g/capita/day,FAO stat
Argentina,99,g/capita/day,FAO stat
Armenia,85,g/capita/day,FAO stat
Australia,104,g/capita/day,FAO stat
Austria,106,g/capita/day,FAO stat
Azerbaijan,88,g/capita/day,FAO stat
Bangladesh,55,g/capita/day,FAO stat
Barbados,91,g/capita/day,FAO stat
Belarus,92,g/capita/day,FAO stat
Belgium,102,g/capita/day,FAO stat
Belize,71,g/capita/day,FAO stat
Benin,61,g/capita/day,FAO stat
Bermuda,89,g/capita/day,FAO stat
Bolivia (Plurinational State of),64,g/capita/day,FAO stat
Bosnia and Herzegovina,90,g/capita/day,FAO stat
Botswana,64,g/capita/day,FAO stat
Brazil,92,g/capita/day,FAO stat
Brunei Darussalam,84,g/capita/day,FAO stat
Bulgaria,82,g/capita/day,FAO stat
Burkina Faso,80,g/capita/day,FAO stat
Cabo Verde,75,g/capita/day,FAO stat
Cambodia,63,g/capita/day,FAO stat
Cameroon,68,g/capita/day,FAO stat
Canada,104,g/capita/day,FAO stat
Central African Republic,53,g/capita/day,FAO stat
Chad,62,g/capita/day,FAO stat
Chile,85,g/capita/day,FAO stat
China,94,g/capita/day,FAO stat
Colombia,62,g/capita/day,FAO stat
Congo,50,g/capita/day,FAO stat
Costa Rica,76,g/capita/day,FAO stat
C̫te d'Ivoire,58,g/capita/day,FAO stat
Croatia,83,g/capita/day,FAO stat
Cuba,83,g/capita/day,FAO stat
Cyprus,79,g/capita/day,FAO stat
Czech Republic,92,g/capita/day,FAO stat
Democratic People's Republic of Korea,56,g/capita/day,FAO stat
Denmark,107,g/capita/day,FAO stat
Djibouti,63,g/capita/day,FAO stat
Dominica,88,g/capita/day,FAO stat
Dominican Republic,58,g/capita/day,FAO stat
Ecuador,66,g/capita/day,FAO stat
Egypt,102,g/capita/day,FAO stat
El Salvador,70,g/capita/day,FAO stat
Estonia,96,g/capita/day,FAO stat
Ethiopia,61,g/capita/day,FAO stat
Fiji,74,g/capita/day,FAO stat
Finland,112,g/capita/day,FAO stat
France,113,g/capita/day,FAO stat
Gabon,82,g/capita/day,FAO stat
Gambia,67,g/capita/day,FAO stat
Georgia,75,g/capita/day,FAO stat
Germany,103,g/capita/day,FAO stat
Ghana,60,g/capita/day,FAO stat
Greece,112,g/capita/day,FAO stat
Guatemala,64,g/capita/day,FAO stat
Guinea,54,g/capita/day,FAO stat
Guinea-Bissau,43,g/capita/day,FAO stat
Guyana,75,g/capita/day,FAO stat
Haiti,48,g/capita/day,FAO stat
Honduras,65,g/capita/day,FAO stat
Hungary,82,g/capita/day,FAO stat
Iceland,132,g/capita/day,FAO stat
India,59,g/capita/day,FAO stat
Indonesia,60,g/capita/day,FAO stat
Iran (Islamic Republic of),86,g/capita/day,FAO stat
Iraq,61,g/capita/day,FAO stat
Ireland,108,g/capita/day,FAO stat
Israel,126,g/capita/day,FAO stat
Italy,111,g/capita/day,FAO stat
Jamaica,77,g/capita/day,FAO stat
Japan,88,g/capita/day,FAO stat
Jordan,82,g/capita/day,FAO stat
Kazakhstan,97,g/capita/day,FAO stat
Kenya,61,g/capita/day,FAO stat
Kiribati,74,g/capita/day,FAO stat
Kuwait,108,g/capita/day,FAO stat
Kyrgyzstan,85,g/capita/day,FAO stat
Lao People's Democratic Republic,63,g/capita/day,FAO stat
Latvia,97,g/capita/day,FAO stat
Lebanon,81,g/capita/day,FAO stat
Lesotho,74,g/capita/day,FAO stat
Liberia,37,g/capita/day,FAO stat
Lithuania,124,g/capita/day,FAO stat
Luxembourg,112,g/capita/day,FAO stat
Madagascar,48,g/capita/day,FAO stat
Malawi,62,g/capita/day,FAO stat
Malaysia,79,g/capita/day,FAO stat
Maldives,105,g/capita/day,FAO stat
Mali,82,g/capita/day,FAO stat
Malta,109,g/capita/day,FAO stat
Mauritania,80,g/capita/day,FAO stat
Mauritius,90,g/capita/day,FAO stat
Mexico,86,g/capita/day,FAO stat
Mongolia,78,g/capita/day,FAO stat
Montenegro,111,g/capita/day,FAO stat
Morocco,94,g/capita/day,FAO stat
Mozambique,45,g/capita/day,FAO stat
Myanmar,79,g/capita/day,FAO stat
Namibia,59,g/capita/day,FAO stat
Nepal,65,g/capita/day,FAO stat
Netherlands,108,g/capita/day,FAO stat
New Zealand,94,g/capita/day,FAO stat
Nicaragua,65,g/capita/day,FAO stat
Niger,81,g/capita/day,FAO stat
Nigeria,64,g/capita/day,FAO stat
Norway,109,g/capita/day,FAO stat
Oman,88,g/capita/day,FAO stat
Pakistan,64,g/capita/day,FAO stat
Panama,75,g/capita/day,FAO stat
Paraguay,67,g/capita/day,FAO stat
Peru,72,g/capita/day,FAO stat
Philippines,60,g/capita/day,FAO stat
Poland,101,g/capita/day,FAO stat
Portugal,114,g/capita/day,FAO stat
Republic of Korea,93,g/capita/day,FAO stat
Republic of Moldova,72,g/capita/day,FAO stat
Romania,106,g/capita/day,FAO stat
Russian Federation,101,g/capita/day,FAO stat
Rwanda,53,g/capita/day,FAO stat
Saint Kitts and Nevis,75,g/capita/day,FAO stat
Saint Vincent and the Grenadines,89,g/capita/day,FAO stat
Samoa,80,g/capita/day,FAO stat
Sao Tome and Principe,61,g/capita/day,FAO stat
Saudi Arabia,84,g/capita/day,FAO stat
Senegal,60,g/capita/day,FAO stat
Serbia,81,g/capita/day,FAO stat
Sierra Leone,55,g/capita/day,FAO stat
Slovakia,74,g/capita/day,FAO stat
Slovenia,100,g/capita/day,FAO stat
Solomon Islands,56,g/capita/day,FAO stat
South Africa,82,g/capita/day,FAO stat
Spain,105,g/capita/day,FAO stat
Sri Lanka,57,g/capita/day,FAO stat
Sudan (former),75,g/capita/day,FAO stat
Suriname,62,g/capita/day,FAO stat
Swaziland,56,g/capita/day,FAO stat
Sweden,108,g/capita/day,FAO stat
Switzerland,94,g/capita/day,FAO stat
Tajikistan,52,g/capita/day,FAO stat
Thailand,59,g/capita/day,FAO stat
The former Yugoslav Republic of Macedonia,80,g/capita/day,FAO stat
Timor-Leste,55,g/capita/day,FAO stat
Togo,55,g/capita/day,FAO stat
Trinidad and Tobago,76,g/capita/day,FAO stat
Tunisia,97,g/capita/day,FAO stat
Turkey,103,g/capita/day,FAO stat
Turkmenistan,92,g/capita/day,FAO stat
Uganda,51,g/capita/day,FAO stat
Ukraine,86,g/capita/day,FAO stat
United Arab Emirates,100,g/capita/day,FAO stat
United Kingdom,102,g/capita/day,FAO stat
United Republic of Tanzania,55,g/capita/day,FAO stat
United States of America,110,g/capita/day,FAO stat
Uruguay,86,g/capita/day,FAO stat
Uzbekistan,80,g/capita/day,FAO stat
Vanuatu,67,g/capita/day,FAO stat
Venezuela (Bolivarian Republic of),84,g/capita/day,FAO stat
Viet Nam,76,g/capita/day,FAO stat
Yemen,58,g/capita/day,FAO stat
Zambia,52,,
Zimbabwe,53,,